onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.011	3.5526	control	3.5526	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0193	1.1662000000000017	control	1.1662000000000017	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
20.0275	0.7258999999999993	control	0.7258999999999993	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0357	0.5446000000000026	control	0.5446000000000026	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.044	0.7681000000000004	control	0.7681000000000004	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
35.0522	0.7738000000000014	control	0.7738000000000014	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
40.0604	1.3864000000000019	emotion	1.3864000000000019	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0687	0.9909999999999997	emotion	0.9909999999999997	right	correct	n/a	male	black	black	black	anger
50.0769	0.9026999999999958	emotion	0.9026999999999958	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0851	1.0382999999999996	emotion	1.0382999999999996	left	correct	n/a	male	black	black	black	fear
60.0934	1.3888999999999996	emotion	1.3888999999999996	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1016	1.1486000000000018	emotion	1.1486000000000018	right	correct	n/a	female	asian	black	asian	fear
70.1098	0.671299999999988	control	0.671299999999988	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
75.1181	0.4919000000000011	control	0.4919000000000011	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
80.1263	0.5914999999999964	control	0.5914999999999964	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1345	0.5942000000000007	control	0.5942000000000007	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.1428	0.676700000000011	control	0.676700000000011	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
95.151	0.7844000000000051	control	0.7844000000000051	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
100.1592	1.194100000000006	emotion	1.194100000000006	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1675	1.1115999999999957	emotion	1.1115999999999957	left	correct	n/a	male	black	black	black	anger
110.1757	0.9822999999999951	emotion	0.9822999999999951	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1839	1.0439000000000078	emotion	1.0439000000000078	right	correct	n/a	male	black	black	black	fear
120.1922	1.2535000000000025	emotion	1.2535000000000025	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2004	1.5762	emotion	1.5762	left	correct	n/a	female	asian	black	asian	anger
130.2087	0.7567999999999984	control	0.7567999999999984	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.2169	0.5604999999999905	control	0.5604999999999905	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
140.2251	0.6240999999999985	control	0.6240999999999985	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2334	0.5997000000000128	control	0.5997000000000128	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
150.2416	0.6983999999999924	control	0.6983999999999924	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.2498	0.7680000000000007	control	0.7680000000000007	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
160.2581	0.9895999999999958	emotion	0.9895999999999958	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2663	1.8851999999999975	emotion	1.8851999999999975	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2745	1.5039000000000158	emotion	1.5039000000000158	right	correct	n/a	male	black	black	black	anger
175.2828	0.9284999999999854	emotion	0.9284999999999854	right	incorrect	n/a	female	black	asian	asian	anger
180.291	1.0722000000000094	emotion	1.0722000000000094	right	correct	n/a	male	caucasian	caucasian	white	fear
185.2992	1.5147999999999797	emotion	1.5147999999999797	right	correct	n/a	female	asian	asian	black	fear
190.3075	0.6813999999999965	control	0.6813999999999965	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
195.3157	0.6271000000000129	control	0.6271000000000129	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.3239	0.6508000000000038	control	0.6508000000000038	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
205.3322	0.6063000000000045	control	0.6063000000000045	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.3404	0.6690000000000111	control	0.6690000000000111	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3486	0.755599999999987	control	0.755599999999987	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.3569	4.1621000000000095	emotion	4.1621000000000095	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3651	1.0438999999999794	emotion	1.0438999999999794	left	correct	n/a	female	black	asian	asian	fear
230.3733	1.3285999999999945	emotion	1.3285999999999945	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3816	0.8171000000000106	emotion	0.8171000000000106	left	correct	n/a	male	black	black	black	fear
240.3898	1.0877999999999872	emotion	1.0877999999999872	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.398	1.0934000000000026	emotion	1.0934000000000026	right	correct	n/a	female	asian	asian	black	anger
